Nom,Initial crawling,Adresse,Overview,Caractéristiques,Commentaire,Scraping,Ajouté par,,Cookie selector,Link selector,Content selector,Title selector,Date selector,Author selector,Page url complement,Number of pages,paginator formula,Content is well extracted ?
Lumière sur Gaia,,https://lumieresurgaia.com/?s=changement+climatique,FALSE,"Climato skepticism, conspiracy theory",at the edge of the sect...,Links => HTML (! link YT in some articles),Paul,,,,,,,,,,,
Futura Planet,x,https://www.futura-sciences.com/planete/environnement/climatologie/,TRUE,"Science popularization, reliable",,Links => HTML,Paul,TRUE,.sd-cmp-3cRQ2,.w-secondary-label a,.zeta,.alpha,"time[itemprop=""datePublished""]",.epsilon,,,,NO
Reporterre,x,https://reporterre.net/DOSSIER-Changement-climatique,MIXED,environmental activism,mix of precise information of scientific character and infoxes which go in the direction of activism (with regard to nuclear energy in particular),Links => HTML,Paul,MIXED,,.spip_in,.texte,,.date,.lienauteur,,,,NO do not take div with #appeldon at the end
GreenPeace,x,https://www.greenpeace.fr/?s=changement+climatique,MIXED,environmental activism,idem,Links => HTML,Paul,MIXED,#discreto > div.popup > form > div.btns > div.front > button:nth-child(3),,.accordion-box,,.meta time,,&page={},90,n,"NO extraction ""content too short"""
The Conversation,x,https://theconversation.com/fr/topics/changement-climatique-21171,MIXED,"academic papers, some op-ed",,Links => HTML,Louis,MIXED,,.article-link,.content-body,,"time[itemprop=""datePublished""]",.author-name,?page={},33,n,
Les Echos (Planete),,https://planete.lesechos.fr/?s=changement+climatique,TRUE,"News, reliable",,Links => HTML,Louis,,#didomi-notice-agree-button,"links aren't in ""article"" tags + articles links can't be  distinguished  from contributions links",,,,,,,,
Time for the Planet,x,https://www.time-planet.com/fr/tout-savoir/dereglement-climatique,MIXED,"Popularization, leaning",want to persuade people to fund their project,Links => HTML (! lot of images),Louis,MIXED,,div.ContentList a.ContentCard,.ContentContainer,.Header-title,.Header-updatedAt,,,,,
LinkedIn,,https://www.linkedin.com/search/results/content/?keywords=changement climatique,MIXED,"Social network, op-ed",filter by length ?,Login => $(.reusable-search__result-container div).onClick() => $(#ember777),Louis,,,,,,,,,,,
Comité 21,,http://www.comite21.org/ressources/etudes/index.html,TRUE,"Source, press review",,/,Louis,,,,,,,,,,,
Ministère de la Transition Ecologique,,https://www.ecologie.gouv.fr/politiques/climat,TRUE,French gov website,,$(#container-1 a) => $(#container-2 a) => HTML,Louis,,,,,,,,,,,
Climat en Questions,,https://www.climat-en-questions.fr/,TRUE,"Popularization, reliable",created by the Pierre-Simon Laplace institute,Links => Links => HTML,Louis,,,,,,,,,,,
Réseau Action Climat France,x,https://reseauactionclimat.org/actualites/?theme=urgence-climatique,MIXED,"Popularization, 70% reliable, activism ?",a gathering of environmental associations,Links => HTML,Louis,MIXED,,.js-post a,.fc,.t-title,.l-singleHeader__aside__date,,,,,
CPEPESC,x,https://cpepesc.org/category/6-nature-et-pollutions/1-la-planete-des-hommes-a-mal-a-son-climat/,MIXED,"Popularization, 70% reliable, activism ?",water defence comitee,Links => HTML,Louis,MIXED,,.greennature-blog-title a,.greennature-portfolio-content p,.head,.portfolio-clients,,,,,
Wikipedia,x,https://fr.wikipedia.org/wiki/Cat%C3%A9gorie:R%C3%A9chauffement_climatique,MIXED,"Populatization, french Wikipedia, 70% reliable",global warming section,Links => HTML,Louis,MIXED,,#mw-pages .mw-category a,.mw-parser-output p,.firstHeading,#footer-info-lastmod,,,,,
Eau France,,https://www.eaufrance.fr/le-changement-climatique,MIXED,"French public service, popularization, reliable ?",sections at the bottom of this (long) article,$(.value),Louis,,,,,,,,,,,
Changement Climatique,x,http://www.changement-climatique.fr/,MIXED,"Popularization, reliable ?",talk about controversal issues,Links => HTML,Louis,MIXED,,.art-vmenu ul a,.art-postcontent,.art-postheader,,,,,,
Nature France,,https://naturefrance.fr/,MIXED,"French public service, popularization, reliable ?",focus on biodiversity,"Search bar, type ""climat"" => Links => HTML",Louis,,,,,,,,,,,
Euronews,x,https://fr.euronews.com/programmes/climate-now,TRUE,News,collaborator Copernicus project,Links => HTML,Louis,TRUE,#didomi-notice-agree-button,.qa-article-title a,.c-article-content,.c-article-title,.c-article-date,,,,,
OXFAM France,x,https://www.oxfamfrance.org/climat-et-energie/,MIXED,"Popularization, activism","struggle against poverty, citizen group","Links => HTML (click on the ""+"" button at the bottom of the page to display more articles",Louis,MIXED,,.post-archive .entry-title a,.entry-content,.entry-title,.published,,,,,
Argonautes,,https://argonautes.club/,MIXED,"Popularization, reliable ?","ocean, climate and energy","Search bar, type ""climat"" => Links => HTML",Louis,,,,,,,,,,,
Bon Pote,x,https://bonpote.com/environnement/,MIXED,"Popularization, op-ed, press reviews, activism ?",known for their post on social networks,Links => HTML,Louis,MIXED,,.elementor-posts-container a,.elementor-widget-theme-post-content,.elementor-page-title,"li[itemprop=""datePublished""]","li[itemprop=""author""]",,,,
Usbek & Rica,x,https://usbeketrica.com/fr/tags/climat,MIXED,"Op-ed, reliable ?",,Links => HTML ,Louis,MIXED,#didomi-notice-agree-button,article h2 a,.main .flex p,,#author_date_header,#author_header,?page={},4,n,NO can't get rid  of the sharing message (maybe :not(href) ??) problem solved ?
Actu Environnement,,https://www.actu-environnement.com/archives/,MIXED,News,about climate but maybe too general ?,Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
Le Grand Soir,,https://www.legrandsoir.info/+-rechauffement-climatique-+.html,FALSE,"Militancy, alternative informations",,Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
Le Libre Penseur,,https://www.lelibrepenseur.org/?s=changement+climatique,FALSE,"Op-ed, alternative",,Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
Dreuz Info,,https://www.dreuz.info/category/guerre-contre-la-terreur/ecolo-totalitarisme,FALSE,Conspiracy,"""Ecolo-totalitarism""",Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
Mondialisation Ca,,https://www.mondialisation.ca/theme/fr-environnement,FALSE,"Op-ed, not reliable",Research center about globalization ?,Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
Le Nouveau Paradigme,,https://www.2012un-nouveau-paradigme.com/tag/climat/,FALSE,"News, not reliable",,"Search bar, type ""climat"" => Links => HTML (click on the bottom of the page to display more articles)",Louis,,,,,,,,,,,
Presse Galactique,,https://pressegalactique.com/,FALSE,Conspiracy,,"Search bar, type ""climat"" => Links => HTML (click on the bottom of the page to display more articles)",Louis,,,,,,,,,,,
Wikiberal,,https://www.wikiberal.org/wiki/Portail_%C3%A9cologie#Environnement,FALSE,"Encyclopedia, Not reliable",,"Links => HTML (only take the links in the ul ""Généralités"", ""Environnement"", ""Argumentaires et réfutations"")",Louis,,,,,,,,,,,
24 Heures Actu,,https://24heuresactu.com/?s=climat,FALSE,"News, op-ed",,Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
Dedefensa,,https://www.dedefensa.org/recherche/do,FALSE,Op-ed,"search ""climat""","Search bar, type ""climat"" => Links => HTML",Louis,,,,,,,,,,,
SytiNet,x,http://blog.syti.net/sommaire.php?label=14,FALSE,"Op-ed, blog",,Links => HTML,Louis,FALSE,,.titre_card,".texte_marge, .texte",.titre,.blog i,,,,,YES
Carbone 4,x,https://www.carbone4.com/analysis?filter=publications,TRUE,"Popularization, articles",,Links => HTML,Louis,TRUE,,a.ResourceCard,.RichTextContent ,,.headerMainContent div:first-child:last-child,.contentWrapper:first-child a,,,,Impossible de se débarasser du nom des auteurs au début à la fin
La Croix,,https://www.la-croix.com/environnement/rechauffement-climatique-changement-temperature-planete-niveau-mer,MIXED,"newspaper, religious",Christian ,cannot access,Louis,,,,,,,,,,,
CIRAD,,https://www.cirad.fr/nos-activites-notre-impact/thematiques-de-recherche/changement-climatique/enjeux-et-problematiques,TRUE,"French gov website, popularization, articles",,"Search bar, type ""climat"" => Links => HTML (click on the bottom of the page to display more articles)",Louis,,,,,,,,,,,
EDF,,https://www.edf.fr/resultats?keywords=climat&rubriqueURL=groupe_EDF&order=pertinence&exactValue=0&type=12,MIXED,"Popularization, leaning",French electricity supplier,Links => HTML (bottom of the page to display more articles,Louis,,,,,,,,,,,
AMESSI,,https://amessi.org/spip.php?page=recherche&recherche=changement+climatique,FALSE,"Op-ed, not reliable",,Links => HTML (bottom of the page to display more articles,Louis,,,,,,,,,,,
Arrêt Sur Info,x,https://arretsurinfo.ch/,FALSE,"Op-ed, not reliable",,Links => HTML (! videos),Louis,FALSE,,.title a,".post-content .post-inner p, ost-content .post-inner h3",.title,.post-meta-actual-date,,page/{}/?s=climatique,6,n,YES (mais sources et auteurs à la fin...)
Citoyens et Français,,https://www.citoyens-et-francais.fr/search/changement%20climatique/,FALSE,"Op-ed, blog, comments, not reliable",,Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
ConsoGlobe,,https://www.consoglobe.com/pg-environnement,MIXED,News,,Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
Novethic,,https://www.novethic.fr/actualite/environnement/climat.html,MIXED,News,sustainable finance,Links => HTML (Click on the bottom of the page to display more articles),Louis,,,,,,,,,,,
INRAE,,https://www.inrae.fr/changement-climatique-risques,TRUE,French gov website,,"Search bar, type ""climat"" => Links => HTML (click on the bottom of the page to display more articles)",Louis,,,,,,,,,,,
Michel Duchaine,,https://michelduchaine.com/category/francais-articles-personnels/ecologie/rechauffement-global/,FALSE,"Op-ed, conspiracy",,Links => HTML,Louis,,,,,,,,,,,
Agence Française de Développement,,https://www.afd.fr/fr/page-thematique-axe/climat,MIXED,"News, articles, 70% reliable",,"Search bar, type ""climat"" => Links => Download button",Louis,,,,,,,,,,,
Groupement d'intérêt scientifique Climat,,http://www.gisclimat.fr/les-publications-du-gis-climat.html,TRUE,"scientific ressource, reliable",,Links => HTML,Paul,,,,,,,,,,,
Revue espaces naturels,,http://www.espaces-naturels.info,TRUE,"scientific review, reliable",,cannot access,Paul,,,,,,,,,,,
Journal du CNRS,,https://lejournal.cnrs.fr,TRUE,"scientific popularization, reliable",,"Search bar, type ""climat"" => Links => HTML (click on the bottom of the page to display more articles)",Paul,,,,,,,,,,,
CNRS,,https://inee.cnrs.fr/fr/news-list,TRUE,"scientific review, reliable",,"Links => HTML (click on the ""+"" button at the bottom of the page to display more articles",Paul,,,,,,,,,,,
La Recherche,,https://www.larecherche.fr,TRUE,"scientific review, reliable",,"Search bar, type ""climat"" => Links => HTML (!subscription needed !)",Paul,,,,,,,,,,,
Science ert vie,,https://www.science-et-vie.com,TRUE,"scientific review, reliable",,"Search bar, type ""climat"" => Links => HTML (!subscription needed !)",Paul,,,,,,,,,,,
Pour la science,,https://www.pourlascience.fr,TRUE,"scientific review, reliable",,"Search bar, type ""climat"" => Links => HTML (!subscription needed !)",Paul,,,,,,,,,,,
Science et avenir,,https://www.sciencesetavenir.fr,TRUE,"scientific review, reliable",,"Search bar, type ""climat"" => Links => HTML (!subscription needed !)",Paul,,,,,,,,,,,
Le Figaro,,https://recherche.lefigaro.fr,TRUE,"Daily newspaper, reliable, op-ed",,"Search bar, type ""climat"" => Links => HTML (!subscription needed + videos)",Paul,,,,,,,,,,,
Le climat en questions,,https://www.climat-en-questions.fr,TRUE,reliable,support from cnrs and insu,Links => Links => HTML,Paul,,,,,,,,,,,
CEA,,https://www.cea.fr/presse/Pages/actualites-communiques/actualites-communiques-climat-environnement.aspx?g_8f090e0e_2052_4fa3_a480_97901639a70c=2,TRUE,"Scientific ressearch, reliable",,Links => HTML,Paul,,,.menu li a,.alpha,.cartouche h1,.published,,,,,
